"id","client_code","name","latitude","longitude","isDepot","created_at","updated_at","source","groupe","cree_par"
"65","1065","MAGASIN FOUCHANA","36.7048891437","10.1594368673",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"66","1066","MAGASIN KSOUR ESSEF","35.4157948169","10.9999346873",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"67","1067","MAGASIN EL MANZEL GABES","33.8789168728","10.0916121605",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"68","1068","MAGASIN KALAA KEBIRA2","35.87499794","10.5360767168",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"69","1069","MAGASIN MONASTIR 2","35.7702231762","10.8297181826",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"70","1070","MAGASIN BEJA","36.7266633098","9.1814040449",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"71","1071","MAGASIN HEDI NOUIRA","36.8697135318","10.1957146986",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"72","1072","MAGASIN KAIROUAN NORD 2","35.6803784229","10.0965952767",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"73","1073","MAGASIN SIDI SALAH","36.8868664282","10.2173177403",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"74","1074","MAGASIN SIDI HASSINE","36.7720007925","10.1141702219",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"75","1075","MAGASIN BIZERTE","37.2814938862","9.8547107902",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"76","1076","MAGASIN MENZEL TEMIM 2","36.7773808085","10.9910993496",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"77","1077","MAGASIN FOUCHANA 2","36.6945419602","10.1658581719",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"78","1078","MAGASIN DENDEN EL-AMAL","36.8118021468","10.1113300092",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"79","1079","MAGASIN DENDEN2","36.8042007883","10.1130671316",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"80","1080","MAGASIN TEBOURBA","36.8299004466","9.8411903912",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"81","1081","MAGASIN SIJOUMI","36.7643233998","10.1145828505",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
"82","1082","MAGASIN BOUHSINA","35.8169474979","10.6176909713",False,"2026-04-03 12:50:30.421","2026-04-03 12:50:30.421",NULL,NULL,NULL
